t1,t2,y
20.015,20.042,0.43488
20.042,20.033,-0.59498
20.006,20.02,0.28751
20.11,20.135,-0.99982
20,20.009,0.026354
20.001,20.018,0.13966
20.107,20.135,-0.98593
20.054,20.099,0.78494
20.038,20.081,0.66639
20.025,20.079,0.55033
20.028,20.067,0.57627
20.009,20.008,-0.25274
20.056,20.081,-0.69538
20.012,20.018,-0.29548
20.006,20.027,0.2902
20.066,20.136,0.86387
20.075,20.08,-0.81336
20.019,20.037,0.47756
20.088,20.121,-0.88947
20.022,20.054,0.51432
20.002,20.001,-0.073021
20.092,20.121,-0.90999
20.04,20.068,0.68406
20.052,20.076,-0.67058
20.067,20.08,-0.76985
20.026,20.019,-0.45688
20.018,20.027,-0.37123
20.003,20.026,0.21218
20.01,20.048,0.35493
20.086,20.171,0.97528
20.088,20.127,0.98652
20.022,20.048,0.51507
20.025,20.023,-0.44988
20.074,20.131,0.90803
20.005,20.006,-0.17784
20.038,20.05,-0.56675
20.005,20.033,0.25826
20.104,20.09,-0.97026
20.093,20.079,-0.9134
20.048,20.051,-0.63948
20.042,20.039,-0.59907
20.015,20.036,0.43872
20.003,20.002,-0.11426
20.041,20.06,0.69099
20.008,20.008,-0.22042
20.039,20.1,0.6751
20.02,20.053,0.49684
20.002,20.007,0.16772
20.053,20.048,-0.67885
20,20.01,0.05768
20.002,20.001,-0.074658
20.009,20.014,-0.24091
20.075,20.063,-0.81354
20.029,20.028,-0.48171
20.015,20.016,-0.32833
20.009,20.011,-0.24978
20.058,20.069,-0.70748
20.018,20.028,-0.36646
20.024,20.019,-0.43755
20.035,20.051,0.64025
20.014,20.009,-0.31582
20.048,20.082,0.744
20.027,20.021,-0.46394
20.025,20.075,0.55086
20.003,20.011,0.21842
20.103,20.134,-0.96406
20.013,20.05,0.40302
20.104,20.116,-0.9685
20.01,20.049,0.36779
20.05,20.082,0.7558
20.004,20.003,-0.13639
20.005,20.023,0.26269
20.002,20.007,0.17208
20.036,20.052,-0.54518
20.027,20.086,0.56931
20.023,20.02,-0.42473
20.064,20.135,0.84875
20.021,20.017,-0.40305
20,20.002,0.072606
20.015,20.014,-0.33271
20.033,20.044,-0.52541
20,20.006,0.090478
20.07,20.102,-0.78463
20.06,20.054,-0.72569
20.074,20.094,-0.81115
20.019,20.015,-0.37823
20.033,20.097,0.62527
20,20.007,0.027115
20.047,20.088,0.73295
20.083,20.104,0.96097
20.016,20.011,-0.34669
20.038,20.043,-0.56077
20,20.006,0.036447
20.012,20.018,-0.29399
20.045,20.092,0.71895
20.028,20.021,-0.47996
20.041,20.106,0.68744
20.002,20.007,0.1656
20.015,20.047,0.43881
20.013,20.008,-0.31295
20.106,20.124,-0.98145
20.044,20.035,-0.61511
20,20.007,0.014776
20.1,20.103,-0.95152
20.001,20.014,0.10008
20.025,20.018,-0.44763
20.012,20.029,0.39248
20.051,20.109,0.76271
20.1,20.135,-0.95064
20.014,20.007,-0.31759
20.005,20.003,-0.15719
20.079,20.07,-0.83998
20.08,20.066,-0.84129
20.082,20.099,-0.85525
20.057,20.124,0.80068
20.079,20.142,0.93862
20.007,20.008,-0.21739
20.018,20.026,-0.37283
20.001,20.005,0.10663
20.029,20.048,0.5841
20.03,20.051,0.59663
20.046,20.066,0.72652
20.03,20.06,0.59592
20.108,20.101,-0.98725
20.063,20.089,0.8398
20.103,20.12,-0.96408
20.098,20.118,-0.94117
20.014,20.059,0.4229
20,20.014,0.076828
20,20.005,0.049177
20,20.004,0.0044799
